decimal_year,gmsl_mm,date
2005.0381021971075,18.895,2005-01-14
2005.0652672917374,21.291,2005-01-24
2005.092424454083,20.334,2005-02-03
2005.1195968349864,21.928,2005-02-13
2005.1468737077896,21.294,2005-02-23
2005.1739263778268,25.359,2005-03-05
2005.2010942160448,23.964,2005-03-15
2005.2280667113985,18.34,2005-03-25
2005.2554164735232,19.221,2005-04-04
2005.282586407585,23.716,2005-04-14
2005.3097566677006,20.627,2005-04-24
2005.336914682061,22.438,2005-05-03
2005.3640819868056,22.316,2005-05-13
2005.3912525039693,21.518,2005-05-23
2005.418420089139,22.395,2005-06-02
2005.4455798132872,23.197,2005-06-12
2005.4727476784958,23.382,2005-06-22
2005.499917420888,22.223,2005-07-02
2005.5270843419712,24.608,2005-07-12
2005.5542510306946,20.55,2005-07-22
2005.5815596448729,22.078,2005-08-01
2005.6085471813306,19.27,2005-08-11
2005.635818916168,20.071,2005-08-21
2005.6629172270611,21.889,2005-08-30
2005.6900854745254,22.303,2005-09-09
2005.7119645035357,21.417,2005-09-17
2005.7492579189054,21.923,2005-10-01
2005.771570424723,22.733,2005-10-09
2005.7987496971107,20.854,2005-10-19
2005.8259219466004,21.53,2005-10-29
2005.8530854590003,24.543,2005-11-08
2005.8802394602976,23.949,2005-11-18
2005.9074150826455,23.287,2005-11-28
2005.9345869342462,23.585,2005-12-08
2005.9617499091385,24.562,2005-12-18
2005.9889140696462,24.944,2005-12-27
2006.0160804718835,22.665,2006-01-06
2006.0432421375692,19.175,2006-01-16
2006.070401739702,21.543,2006-01-26
2006.0975799038833,22.258,2006-02-05
2006.124741538732,21.225,2006-02-15
2006.1519037289659,21.368,2006-02-25
2006.179073037186,23.02,2006-03-07
2006.2062330559015,18.317,2006-03-17
2006.233398067603,22.094,2006-03-27
2006.2605663878787,20.875,2006-04-06
2006.2877328983507,20.374,2006-04-16
2006.3149155806032,20.187,2006-04-25
2006.3420671581075,21.194,2006-05-05
2006.3692270423142,24.961,2006-05-15
2006.3963332369353,25.543,2006-05-25
2006.4235648960662,24.791,2006-06-04
2006.4507337495922,24.755,2006-06-14
2006.4779007258937,24.196,2006-06-24
2006.5050806283978,25.587,2006-07-04
2006.5322181781344,25.826,2006-07-14
2006.5594017228111,24.425,2006-07-24
2006.586556861011,22.726,2006-08-03
2006.6137351945351,19.988,2006-08-13
2006.6409065092123,23.289,2006-08-22
2006.6680670459991,25.916,2006-09-01
2006.695228942781,25.259,2006-09-11
2006.722442127023,26.099,2006-09-21
2006.7495660703887,24.715,2006-10-01
2006.7767342795466,25.152,2006-10-11
2006.803893368525,25.041,2006-10-21
2006.8234701797671,24.209,2006-10-28
2006.8878000724435,23.789,2006-11-21
2006.9125710586584,22.686,2006-11-30
2006.939395820949,26.989,2006-12-09
2006.966897290173,25.487,2006-12-19
2006.99407271049,24.763,2006-12-29
2007.0212258944102,21.866,2007-01-08
2007.048411550785,19.752,2007-01-18
2007.075556622512,22.991,2007-01-28
2007.102719314968,22.676,2007-02-07
2007.1298861476093,22.317,2007-02-17
2007.157056438283,24.541,2007-02-27
2007.1842093671942,21.979,2007-03-09
2007.2113407841114,23.17,2007-03-19
2007.2385520326611,23.446,2007-03-29
2007.265711862705,26.43,2007-04-07
2007.2928791103009,26.833,2007-04-17
